Player,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round,Rating 1.0,Major Titles
s1mple,14329,0.432,10692,1.34,86.7,2,636,16747,0.86,0.1,0.64,0.08,0.11,1.25,0
coldzera,17579,0.48,13551,1.3,82,2.1,850,22137,0.79,0.11,0.61,0.08,0.1,1.18,2
XANTARES,13491,0.54,11478,1.18,94,3.5,613,16090,0.84,0.16,0.71,0.1,0.1,1.27,0
NiKo,17386,0.505,14289,1.22,86.2,3.4,819,21572,0.81,0.13,0.66,0.08,0.1,1.17,0
device,17238,0.335,13722,1.26,80.8,4,847,22016,0.78,0.12,0.62,0.08,0.09,1.17,3
oskar,14881,0.296,12578,1.18,79.6,2.8,737,19382,0.77,0.11,0.65,0.08,0.09,1.13,0
CeRq,9720,0.276,8201,1.19,75.4,2.2,499,13041,0.75,0.1,0.63,0.1,0.11,1.15,0
kennyS,15603,0.314,13074,1.19,75.6,3.3,783,20649,0.76,0.1,0.63,0.09,0.12,1.12,1
Twistzz,12709,0.601,10826,1.17,77.7,3.3,656,17106,0.74,0.12,0.63,0.1,0.13,1.14,0
Magisk,15672,0.485,13386,1.17,81.3,4.9,811,21248,0.74,0.14,0.63,0.09,0.1,1.11,2
HEN1,9724,0.267,8020,1.21,74.7,3.2,525,13605,0.71,0.12,0.59,0.08,0.1,1.1,0
electronic,11332,0.514,9949,1.14,83.8,4.2,571,15038,0.75,0.14,0.66,0.09,0.1,1.1,0
GuardiaN,14653,0.274,12548,1.17,72.9,2.6,768,20068,0.73,0.1,0.63,0.08,0.09,1.1,0
huNter,8968,0.494,7986,1.12,84.7,5.3,444,11764,0.76,0.15,0.68,0.1,0.11,1.17,0
Calyx,8831,0.556,7577,1.17,78,3.3,459,11998,0.74,0.12,0.63,0.09,0.1,1.13,0
valde,13674,0.455,12071,1.13,81.9,4.3,688,18190,0.75,0.14,0.66,0.1,0.11,1.14,0
JUGi,10205,0.28,8639,1.18,74.2,2.2,546,14166,0.72,0.1,0.61,0.08,0.1,1.13,0
